name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Ryan Abraham,Nova Scotia,Halifax,Athlete,Curling,"15""","5'9""","145 lbs""",,,,,,,,,,,,,,,,,
Carson Ackerman,Saskatchewan,Chamberlain,Athlete,Curling,"17""","5'10''""","225""",2014 Canada Games Trials - 2014,2014 Saskatchewan Winter Games,2012-2014 U18 Juvenile Provincials,2012-2014-High school district and regional playdowns,2012-2014 Provincial Junior Qualifiers,,,,,,,,,,,,
Hafsa Abbasi,Prince Edward Island,charlottetown,Athlete,Table Tennis,"12""","62 inches""","42 kg""",Atlantics 2013,Atlantics 2014,,,,,,,,,,,,,,,
Ian Abbott,Saskatchewan,Loreburn,Athlete,Badminton,"20""","6'1""""","167 lbs""",Western Canada Summer Games (2011),Saskatchewan Winter Games (2010),,,,,,,,,,,,,,,
Melli Adam-Reimer,New Brunswick,Fredericton,Athlete,Gymnastics,"19""",",",Atlantic Championships,Eastern Championships,,,,,,,,,,,,,,,,
Meagan Adam,Alberta,Lloydminster,Athlete,Archery,"18""","5'3""""","97lbs""",Alberta Winter Games 2012,"Provincials, Nationals, AWG",,,,,,,,,,,,,,,
Seth Adams,Saskatchewan,saskatoon,Athlete,Speed Skating,"18""","5.10""","165""",,,,,,,,,,,,,,,,,
Perris Mei Lu Jie Adamski,Nova Scotia,Dartmouth,Athlete,Table Tennis,"17""","5'6""""","105 lb""",,,,,,,,,,,,,,,,,
Chance Adrian,Saskatchewan,Dalmeny,Athlete,Hockey,"15""","6'""","180""",n/a,n/a,,,,,,,,,,,,,,,
Elora Adamson,Manitoba,Winnipeg,Athlete,Cross Country Skiing,"17""","5'9""","140 lbs""",Manitoba Games 2010,Nationals 2011-2014,,,,,,,,,,,,,,,
Lindsay Paige Agnew,Ontario,"White Rock, B.C.",Athlete,Hockey,"16""","5'7""""","140 lbs""",2012 Ontario Winter Games,,,,,,,,,,,,,,,,
Anika Affleck,Northwest Territories,Yellowknife,Athlete,Hockey,"15""","5'""","9""""",Canada Summer Games 2013 Track and Field,,,,,,,,,,,,,,,,
Jayko Akeeagok,Nunavut,Grise Fiord,Athlete,Badminton,"18""","5'7""","145""","Nunavut Badminton Territorials (2011,2012,2013,2014)",Arctic Winter Games (2012),North American Indigenous Games (2014),,,,,,,,,,,,,,
Channia Payton Dawn Alexander,Alberta,Calgary/Cochrane,Athlete,Hockey,"18""","5'71/2""""","130""",2010 - Gold Medal- Alberta Winter Games,2011 - Silver Medal - Alberta Cup Challenge,2012 - Gold Medal - Alberta Winter Games,2012 - Canada U18 Nationals - 7th (Alberta),2013 - Bronze Medal -Canada U18 Nationals (Alberta),,,,,,,,,,,,
Anika Alexander,Manitoba,"Fort Frances, Ontario",Athlete,Squash,"17""","5'4""","140 lbs""",,,,,,,,,,,,,,,,,
