week 2,,date
event,location,2023.02.27-2023.03.05
Alpine Ski / Ski alpin - Para Alpine / Ski para-alpin,"Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin, Crabbe Mountain",2023.02.27-2023.03.05
Badminton,Chi-Wan Young Sports Centre,2023.02.27-2023.03.04
Boxing / Boxe,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.27-2023.03.05
Cross Country Ski / Ski de fond - Para Nordic / Ski paranordique,Mark Arendz Provincial Ski Park at Brookvale - Nordic / Parc provincial de Ski Mark Arendz à Brookvale - Nordic,2023.02.27-2023.03.05
Curling - Male / Homme,The Silver Fox Entertainment Complex,2023.02.27-2023.03.04
Curling - Mixed Doubles / Double mixte,Montague Curling Club,2023.02.27-2023.03.03
Fencing / Escrime,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.27-2023.03.03
Figure Skating / Patinage artistique - Special Olympics / Olympiques spéciaux North Rustico Canada Games Centre,Figure Skating / Patinage artistique - Special Olympics / Olympiques spéciaux North Rustico Canada Games Centre,2023.02.27-2023.03.05
Hockey - Female / Femme,"MacLauchlan Arena, Credit Union Place, Evangeline Recreation Centre / Centre récréatif Évangéline, Tignish Credit Union Arena",2023.02.27-2023.03.03
Karate / Karaté,Eastlink Centre,2023.02.27-2023.03.03
Snowboard,Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin,2023.02.27-2023.03.03
Squash,Eastlink Centre,2023.02.27-2023.03.05
Closing Ceremony / Cérémonie de clôture,Eastlink Centre,2023.02.27-2023.03.05
