week1,,
event,location,date 
Opening Ceremony / Cérémonie d'ouverture,Meridian Centre (St. Catharines),2022.08.07-2022.08.13
Baseball - Male / Homme,Welland Baseball Stadium (Welland) / Oakes Park (Niagara Falls) ,2022.08.07-2022.08.13
Basketball,Meridian Centre (St. Catharines) / Niagara College (Welland),2022.08.07-2022.08.13
Beach Volleyball / Volley-ball de plage,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.12
Box Lacrosse - Female / Crosse en enclos - Femme,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.12
Cycling - Mountain Bike / Vélo de montagne,Twelve Mile Creek (St. Catharines),2022.08.07-2022.08.09
Rugby Sevens - Female / Rugby à sept - Femme,Brock University - Alumni Field (St. Catharines),2022.08.07-2022.08.12
Soccer - Male / Homme,Youngs Sportsplex (Welland),2022.08.07-2022.08.12
Softball - Female / Femme,Southward Community Park (Grimsby),2022.08.07-2022.08.11
Swimming / Natation - Para swimming / Paranatation - Special Olympics / Olympiques spéciaux,Brock University - Eleanor Misener Aquatics Centre (St. Catharines),2022.08.07-202208.11
Swimming - Open Water / Natation en eau libre,Welland International Flatwater Centre (Welland),2022.08.12
Tennis,Niagara-on-the-Lake Tennis Club (Niagara-on-the-Lake) / Welland Tennis Club (Welland) ,2022.08.07-2022.08.13
Triathlon,Welland International Flatwater Centre (Welland),2022.08.07-2022.08.12
Wrestling / Lutte,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.11
