week 2,,
event,location,date
Athletics / Athlétisme - Para athletics / Para athlétisme - Special Olympics / Olympiques spéciaux Canada Games Park - Parc des Jeux du Canada (Thorold),Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.16-2022.08.21
Box Lacrosse - Male / Crosse en enclos - Homme,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.16-2022.08.21
Canoe Kayak / Canoë-kayak,Welland International Flatwater Centre (Welland),2022.08.16-2022.08.20
Cycling - Road / Cyclisme de route ,City of Port Colborne / Town of Pelham / Brock University (St. Catharines),2022.08.16-2022.08.21
Diving / Plongeon,Brock University - Eleanor Misener Aquatics Centre (St. Catharines),2022.08.16-2022.08.21
Golf,Legends on the Niagara - Battlefield Course (Niagara Falls),2022.08.16-2022.08.21
Rowing / Aviron,Royal Henley Rowing Course (St. Catharines),2022.08.17-2022.08.27
Sailing / Voile - Para sailing / Paravoile,Niagara-on-the-Lake Sailing Club (Niagara-on-the-Lake),2022.08.17-2022.08.21
Soccer - Female / Femme,Youngs Sportsplex (Welland),2022.08.17-2022.08.21
Softball - Male / Homme,Southward Community Park (Grimsby),2022.08.16-2022.08.21
Volleyball,Canada Games Park - Parc des Jeux du Canada (Thorold) / Niagara College (Welland),2022.08.16-2022.08.21
Closing Ceremony / Cérémonie de clôture,Queen Victoria Park (Niagara Falls),2022.08.16-2022.08.21
