url,team,contingent,sport,FinalPosition
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=30197789-d302-469c-8261-4eec8ab21aaf&SetLanguage=en-CA,AB,Alberta,Curling Female,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=dbdc74ff-5c9c-41a1-8499-2e809a5f336c&SetLanguage=en-CA,AB,Alberta,Gymnastics Trampoline - Team Mix,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=7fd8b55c-91a9-4eb1-b359-33bd07fbffa2&SetLanguage=en-CA,AB,Alberta,Table Tennis Team Male,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=e50e8f33-91bb-4d40-803c-67cba83c0e91&SetLanguage=en-CA,AB,Alberta,Squash Team Competition Male,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=06a634c6-4573-4c78-bfc7-802bf1488f38&SetLanguage=en-CA,AB,Alberta,Table Tennis Team Female,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=103c02e2-2589-4d0c-b185-798c2bbd4ec2&SetLanguage=en-CA,AB,Alberta,Ringette Female,7
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d61e4b76-a8cc-47da-82dd-50317b92aa51&SetLanguage=en-CA,AB,Alberta,Speed Skating Long Track - Team Pursuit Female,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=b08f7096-6171-413c-8145-3d203426e136&SetLanguage=en-CA,AB,Alberta,Table Tennis Doubles Male,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=1fb28d1c-0606-4f17-a49c-6f3efd7b41fd&SetLanguage=en-CA,AB,Alberta,Archery Recurve - Team Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=7f57574d-d12d-454c-9ec0-270857d7c682&SetLanguage=en-CA,AB,Alberta,Speed Skating Short Track - Team Relay Female,Silver
