week1,,
event,location,date 
Opening Ceremony / Cérémonie d'ouverture,Meridian Centre (St. Catharines),2022.08.07-2022.08.13
Baseball - Male / Homme,Welland Baseball Stadium (Welland) / Oakes Park (Niagara Falls) ,2022.08.07-2022.08.13
Basketball,Meridian Centre (St. Catharines) / Niagara College (Welland),2022.08.07-2022.08.13
Beach Volleyball / Volley-ball de plage,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.12
Box Lacrosse - Female / Crosse en enclos - Femme,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.12
Cycling - Mountain Bike / Vélo de montagne,Twelve Mile Creek (St. Catharines),2022.08.07-2022.08.09
Rugby Sevens - Female / Rugby à sept - Femme,Brock University - Alumni Field (St. Catharines),2022.08.07-2022.08.12
Soccer - Male / Homme,Youngs Sportsplex (Welland),2022.08.07-2022.08.12
Softball - Female / Femme,Southward Community Park (Grimsby),2022.08.07-2022.08.11
Swimming / Natation - Para swimming / Paranatation - Special Olympics / Olympiques spéciaux,Brock University - Eleanor Misener Aquatics Centre (St. Catharines),2022.08.07-202208.11
Swimming - Open Water / Natation en eau libre,Welland International Flatwater Centre (Welland),2022.08.12
Tennis,Niagara-on-the-Lake Tennis Club (Niagara-on-the-Lake) / Welland Tennis Club (Welland) ,2022.08.07-2022.08.13
Triathlon,Welland International Flatwater Centre (Welland),2022.08.07-2022.08.12
Wrestling / Lutte,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.07-2022.08.11
,,
week 2,,
event,location,date
Athletics / Athlétisme - Para athletics / Para athlétisme - Special Olympics / Olympiques spéciaux Canada Games Park - Parc des Jeux du Canada (Thorold),Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.16-2022.08.21
Box Lacrosse - Male / Crosse en enclos - Homme,Canada Games Park - Parc des Jeux du Canada (Thorold),2022.08.16-2022.08.21
Canoe Kayak / Canoë-kayak,Welland International Flatwater Centre (Welland),2022.08.16-2022.08.20
Cycling - Road / Cyclisme de route ,City of Port Colborne / Town of Pelham / Brock University (St. Catharines),2022.08.16-2022.08.21
Diving / Plongeon,Brock University - Eleanor Misener Aquatics Centre (St. Catharines),2022.08.16-2022.08.21
Golf,Legends on the Niagara - Battlefield Course (Niagara Falls),2022.08.16-2022.08.21
Rowing / Aviron,Royal Henley Rowing Course (St. Catharines),2022.08.17-2022.08.27
Sailing / Voile - Para sailing / Paravoile,Niagara-on-the-Lake Sailing Club (Niagara-on-the-Lake),2022.08.17-2022.08.21
Soccer - Female / Femme,Youngs Sportsplex (Welland),2022.08.17-2022.08.21
Softball - Male / Homme,Southward Community Park (Grimsby),2022.08.16-2022.08.21
Volleyball,Canada Games Park - Parc des Jeux du Canada (Thorold) / Niagara College (Welland),2022.08.16-2022.08.21
Closing Ceremony / Cérémonie de clôture,Queen Victoria Park (Niagara Falls),2022.08.16-2022.08.21
,,
week 1,,
Event,location,date
Opening Ceremony / Cérémonie d'ouverture,Eastlink Centre,2023.02.20-2023.02.23
Archery / Tir à l’arc,Eastlink Centre,2023.02.20-2023.02.25
Biathlon,Mark Arendz Provincial Ski Park at Brookvale - Nordic / Parc provincial de Ski Mark Arendz à Brookvale - Nordic,2023.02.19-2023.02.24
Biathlon,The Silver Fox Entertainment Complex,2023.02.19-2023.02.25
Freestyle Ski / Ski acrobatique,"Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin, Crabbe Mountain",2023.02.20-2023.02.25
Gymnastics - Artistic / Gymnastique artistique,Norton Diamond Soccer Complex,2023.02.22-2023.02.23
Gymnastics - Trampoline / Gymnastique - trampoline,Norton Diamond Soccer Complex,2023.02.19-2023.02.25
Hockey - Male / Homme,"MacLauchlan Arena, Credit Union Place, Eastlink Centre, O'Leary Community Sports Centre, Tyne Valley and Area Events Centre / Centre d'événements communautaires Cavendish Farms",2023.02.20-2023.02.21
Judo,Eastlink Centre,2023.02.19-2023.02.25
Ringette / Ringuette,"Cavendish Farms Wellness Centre, MacLauchlan Arena, Pownal Sports Centre",2023.02.21-2023.02.25
Speed Skating - Long Track / Patinage en vitesse - Longue piste,Halifax Oval,2023.02.23-2023.02.24
Speed Skating - Short Track / Patinage en vitesse - Courte piste,North Rustico Canada Games Centre,2023.02.19-2023.02.25
Table Tennis / Tennis de table,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.19-2023.02.24
Wheelchair Basketball / Basketball en fauteuil roulant,Chi-Wan Young Sports Centre,2023.02.20-2023.02.25
,,
week 2,,date
event,location,2023.02.27-2023.03.05
Alpine Ski / Ski alpin - Para Alpine / Ski para-alpin,"Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin, Crabbe Mountain",2023.02.27-2023.03.05
Badminton,Chi-Wan Young Sports Centre,2023.02.27-2023.03.04
Boxing / Boxe,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.27-2023.03.05
Cross Country Ski / Ski de fond - Para Nordic / Ski paranordique,Mark Arendz Provincial Ski Park at Brookvale - Nordic / Parc provincial de Ski Mark Arendz à Brookvale - Nordic,2023.02.27-2023.03.05
Curling - Male / Homme,The Silver Fox Entertainment Complex,2023.02.27-2023.03.04
Curling - Mixed Doubles / Double mixte,Montague Curling Club,2023.02.27-2023.03.03
Fencing / Escrime,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.27-2023.03.03
Figure Skating / Patinage artistique - Special Olympics / Olympiques spéciaux North Rustico Canada Games Centre,Figure Skating / Patinage artistique - Special Olympics / Olympiques spéciaux North Rustico Canada Games Centre,2023.02.27-2023.03.05
Hockey - Female / Femme,"MacLauchlan Arena, Credit Union Place, Evangeline Recreation Centre / Centre récréatif Évangéline, Tignish Credit Union Arena",2023.02.27-2023.03.03
Karate / Karaté,Eastlink Centre,2023.02.27-2023.03.03
Snowboard,Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin,2023.02.27-2023.03.03
Squash,Eastlink Centre,2023.02.27-2023.03.05
Closing Ceremony / Cérémonie de clôture,Eastlink Centre,2023.02.27-2023.03.05
