Timothy Heinmiller,"Carl Baar, William H. N. Hull, Daniel Madar, David T. Siegel"
"Leah Bradshaw, Charles Conteh, Hevina S. Dashwood, Pierre Liz¨¦e","Stefan Dolgert, Nicole Goodman, Blayne Haggart, Paul Hamilton, Matthew Hennigar, Timothy Heinmiller, Ingrid Makus, Livianna Tossutti"
"Joanne Heritz, Pascal Lupien, Liam Midzain-Gobin",Diane Leon
Plaza 328,brocku.ca/social-sciences/departments-and-centres/political-science
political.science@brocku.ca,"The Paralegal program involves courses offered through Brock University and Seneca College. Paralegals are legally qualified to offer specified legal services directly to the public for a fee without the supervision of a lawyer. The Seneca program is designed to provide students with an understanding of general law principles, legal ethics, small business practices, and other legal subjects. Students are also required to complete a field placement at the end of their year at Seneca. Students who successfully complete the requirements for this program will be granted a Bachelor of Arts (Honours) Political Science degree from Brock and a Paralegal diploma from Seneca College. Gaining both a degree and this diploma would ordinarily involve attending college after gaining a university degree, but the Brock and Seneca program combines the two in a single integrated package that can be completed in four years. Applicants must have a minimum 70 percent major and overall average to be considered for admission to the program. Volunteering experience is considered an asset. Successful applicants must maintain a minimum 70 percent major and overall average during Year 2 and meet other program requirements to continue in the program. Enrolment in this program is limited. Admission to the program is not guaranteed by attainment of the minimum requirements."
Fall Session:,"Students admitted to the Co-op program must follow an approved program pattern. The most common pattern is listed below; however, as courses are subject to change and availability, students' schedules must be approved by the Undergraduate Advisor."
Fall Term:,Fall Term:
"International Development is concerned with the uneven global distribution of wealth and power, and its impact on countries and peoples in the Global South. Impacts include the colonial experience, globalization, poverty, development policies of donor countries and international financial institutions, and touch upon issues related to race, gender, ethnicity and labour practices.",Students in other disciplines may obtain a minor in Canadian Politics within their degree program by successfully completing the following credits with a minimum 60 percent overall average:
Students in other disciplines may obtain a minor in Public Policy and Administration within their degree program by successfully completing the following credits with a minimum 60 percent overall average:,* Indicates a primary offering of a cross listed course
POLI 1P91,Courts and Politics: Great Cases in Constitutional Law
"Constitutional cases - past and current, Canadian and non-Canadian - as an introduction to fundamental issues in the study of politics, and to the analysis of political and social phenomena.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 1P93
Canada and the Global Community,"Impact of politics, economics, culture, society and globalization on Canada's role in the community of nations. Canadian political system in comparative perspective and trends in Canada's political development."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 1P95,"Statehood, Ethnicity and Nationalism"
"Evolution of the modern state, origin of modern ethnic identities and politics of multi-ethnic states which are the vast majority in the international community. Case examples explore accommodation and conflict in situations of competing ethnic identities and nationalisms, with outcomes ranging from stable rule to civil war.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 1P96
Political Theory Through Film and Literature,"Topics in political philosophy such as justice, power, equality, property and human nature through analysis of films and literature in conjunction with major texts in political theory."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 1P97,Politics and Sports
"Examination of the place of sport in politics and society in a global context. Topics include political economy, globalization, nationalism, militarism, gender, colonialism, race and ethnicity, and transnational regulation.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 1P98
How Government Works,How democratic governments make and implement policy decisions. Who has input and influence in these decision-making and implementation processes.
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 2F20,Introduction to International Relations
"Theoretical and empirical grounding in the processes of world politics and globalization. From war and terrorism, to financial and environmental crises, to the future direction of the states system.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#POLI 2P03
Labour and Employment Law,"Legal regulation of both union and non-union work in Canada. Topics may include employment standards, labour relations, human rights and labour relations boards."
"Lectures, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*POLI 2P12,Canadian Government and Politics
"Core institutions of Canadian government, including federalism, parliamentary government, electoral systems, the judiciary, constitutional rights, and the machinery of government. How these institutions shape and are shaped by political parties, Indigenous politics, and other social forces.","Lectures, seminars, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*POLI 2P13
Social Dimensions of Canadian Politics,"Canadian political culture and attitudes, identity politics, civil society groups and social movements, and relations with the global community, with emphasis on leading political and public policy issues. Topics may include the environment, Indigenous reconciliation, socioeconomic inequality, social diversity, gender, and disruptive technologies."
"Lectures, seminar, 3 hours per week.",POLI 2P31
Comparative Politics: Political Institutions and Approaches,"Systematic comparison of politics around the world. Topics may include comparative methodology, the modern state and its development, pathways to democracy, legislatures, the executive, the judiciary and electoral systems."
"Lectures, seminar, 3 hours per week.",Prerequisite(s): one POLI credit numbered 1(alpha)90 to 1(alpha)99 or permission of the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 2P32
Comparative Politics: Society and Policy Issues,"Systematic comparison of politics around the world and institutional and cultural forces shaping them. Topics may include policymaking, media, civil society and social movements, poverty and inequality, terrorism and security, environmental governance, gender, and migration. Comparisons between developed and developing states made in order to enhance our understanding of the key themes."
"Lectures, seminar, 3 hours per week.",Prerequisite(s): one POLI credit numbered 1(alpha)90 to 1(alpha)99 or permission of the instructor.
POLI 2P47,Rights Across Borders
"Contemporary debate on meaning and implications of human rights as a political entitlement. Current issues in application, verification and enforcement of UN Covenants and related international conventions on human rights and collective rights, including rights of indigenous peoples. Structure, function and impact of regional, national and local human rights institutions in Canada and abroad.","Lectures, seminar, 3 hours per week."
Prerequisite(s): one POLI credit numbered 1(alpha)90 to 1(alpha)99 or permission of the instructor.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 2P80,Introduction to Research Design and Methods
"Research design, methodologies, and skills commonly used in studying politics. Topics include the evolution of political science, the ways in which empirical political research is carried out, use of qualitative methodologies, and the advantages and limitations of the scientific approach in political analysis.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 2P91
Political Theory I,"Ancient political philosophy, focusing on the theory and critique of Athenian democracy. May include texts by Homer, Thucydides, Plato, Aristotle, plays from Greek tragedy and comedy, and texts from Rome, Late Antiquity or the Middle Ages."
"Lectures, seminar, 3 hours per week.",POLI 2P92
Political Theory II,"Political theory from 1500 to present.  Topics include foundational writers such as Hobbes, Locke, Rousseau, Wollstonecraft, Mill, Marx, and Nietzsche, and contemporary discussions of liberalism, conservatism, anti-colonialism, environmentalism, feminism, postmodernism, intersectionality, queer theory, and indigeneity."
"Lectures, seminar, 3 hours per week.",POLI 2P97
The Government and Politics of the United States,"American political system and the institutions of the federal government in the context of the constitutional separation of powers and the political party structure. Related topics include federalism, elections and voting behaviour, civil rights and selected public policy issues."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 2P99,Good Governance:  Public Policy and Public Administration
"Structures and processes of Canadian policy-making and implementation. Real-world challenges, best practices, and public sector careers.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 3P02
Citizenship,"Studies in citizenship, including classical and contemporary understandings."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 3P05,Canadian Political Thought
"Selected works of 20th-century Canadian thinkers such as Harold Innis, Marshall McLuhan, Northrop Frye, George Grant, Charles Taylor and John Ralston Saul. Topics include the relationships among art and technology, politics and myth, culture and identity.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 3P07
American Political Thought,"Survey of the history of political thinking in America.  Topics may include Native American thought, the Revolution and Constitution, slavery, Manifest Destiny, the Civil War and Jim Crow, the expulsion of Native Americans, women's suffrage, the rise of industrial capitalism, the New Deal, the Cold War, the Civil Rights Movement, the ""Reagan Revolution,"" and contemporary debates over identity politics and the meaning of January 6, 2021."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
POLI 3P11,Local Government
"Local government and politics in Canada with particular reference to Ontario. Topics include municipal organization, metropolitan and regional government, provincial-municipal-relations, elections, councils and councillors, citizen participation, property taxation and municipal finance, selected policy areas and theories of local government.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",POLI 3P12
Political Parties and Electoral Behaviour,"Political party competition in Canada, party ideologies and ideas, election and party financing, election campaign techniques, voting behaviour, the electoral system and proposals for reform."
"Lectures, seminar, 3 hours per week.",#POLI 3P13
The Politics of Labour,"Critical, multidisciplinary, exploration of parliamentary and extra-parliamentary political activism in Canada's labour movement."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*POLI 3P14,Indigenous Politics in Canada
"Key historic and contemporary issues in Indigenous politics. Topics include settler-state relations, treaties, reconciliation, Indigenous governance, participation and resistance.","Lectures, seminar, 3 hours per week."
POLI 3P15,Politics in Ontario
"Major aspects of political life in Ontario, including province-building, voting behaviour, party systems, policy making and administrative apparatus.","Seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*POLI 3P18
Law and Politics,Canadian constitutional law emphasizing the protection of civil liberties both before and after the adoption of the Charter of Rights. Courts in both legal and political perspectives.
"Lectures, seminar, 3 hours per week.",*POLI 3P19
Provincial and Territorial Politics,"Key elements of provincial and territorial governance in a comparative context. Topics may include party systems, policy making, sub-state nationalism and identity, Indigenous relations, multi-level governance, and the administration of key policy areas such as health care and education."
"Lectures, seminar. 3 hours per week",POLI 3P21
Introduction to International Political Economy,"Survey of theoretical perspectives and policy-related frameworks necessary to the study of the international political economy. Topics may include relations among production, finance and trade; role of transnational corporations and international economic institutions; politics of underdevelopment; emerging issues such as gender and work, the environment, new technologies."
