Code,Duration,Section,Date,Starts,Ends,Location
ACTG,1P02,D3 1,Apr. 21,14:00,17:00,STH204
ACTG,1P02,D3 2,Apr. 21,14:00,17:00,STH204
ACTG,1P02,D3 3,Apr. 21,19:00,22:00,WCIBDS
ACTG,1P02,D3 4,Apr. 21,19:00,22:00,WCIBDS
ACTG,1P91,D3 3,Apr. 22,14:00,17:00,WCDVIS
ACTG,2P12,D3 1,Apr. 21,19:00,22:00,STH204
ACTG,2P12,D3 2,Apr. 21,19:00,22:00,STH204
ACTG,2P21,D3 1,Apr. 19,19:00,22:00,WCIBDS
ACTG,2P21,D3 2,Apr. 19,19:00,22:00,WCIBDS
ACTG,2P21,D3 3,Apr. 19,19:00,22:00,WCIBDS
ACTG,2P31,D3 1,Apr. 14,9:00,11:00,WCIBDS
ACTG,2P32,D3 1,Apr. 13,9:00,12:00,WCDVIS
ACTG,2P32,D3 2,Apr. 18,19:00,22:00,WCDVIS
ACTG,2P32,D3 3,Apr. 18,19:00,22:00,WCDVIS
ACTG,2P51,D3 1,Apr. 19,19:00,22:00,SAKAI
ACTG,3P11,D3 1,Apr. 25,19:00,21:00,WCDVIS
ACTG,3P11,D3 2,Apr. 25,19:00,21:00,WCDVIS
ACTG,3P23,D3 1,Apr. 23,14:00,16:00,WCIBDS
ACTG,4P11,D3 1,Apr. 26,19:00,22:00,SAKAI
ACTG,4P12,D3 1,Apr. 20,19:00,22:00,See notes
ACTG,4P12,D3 2,Apr. 20,19:00,22:00,See notes
ACTG,4P34,D3 1,Apr. 14,19:00,22:00,See notes
ACTG,4P34,D3 2,Apr. 14,19:00,22:00,See notes
ACTG,4P41,D3 1,Apr. 13,19:00,22:00,GSB310
ACTG,4P42,D3 1,Apr. 22,19:00,22:00,STH217
ACTG,4P62,D3 2,Apr. 13,9:00,11:00,WCIBDS
