Code,Duration,Section,Date,Starts,Ends,Location
CHEM 1P91,D3,1,April.21,19:00,22:00,WCIBDS
CHEM 1P92,D3,1,April.21,9:00,12:00,ONLINE
CHEM 2P12,D3,1,April.26,19:00,22:00,WCIBDS
CHEM 2P21,D3,1,April.12,19:00,22:00,WCIBDS
CHEM 2P32,D3,1,April.13,19:00,22:00,WCIBDS
CHEM 3P21,D3,1,April.22,9:00,12:00,WCIBDS
CHEM 3P31,D3,1,April.21,14:00,17:00,WCIBDS
CHEM 3P53,D3,1,April.20,14:00,17:00,WCDVIS
CHEM 3P93,D3,1,April.23,9:00,12:00,WCDVIS
CHEM 4P26,D3,1,April.14,9:00,12:00,WCIBDS
CHEM 4P27,D3,1,April.22,9:00,12:00,WCIBDS
CHEM 5P25,D3,1,April.18,9:00,12:00,WCDVIS
