Code,Duration,Section,Date,Starts,Ends,Location
COSC,1P02,D3 1,Apr. 19,14:00,17:00,WCDVIS
COSC,1P03,D3 1,Apr. 25,14:00,17:00,WCIBDS
COSC,1P03,D3 2,Apr. 25,14:00,17:00,WCIBDS
COSC,1P50,D3 1,Apr. 12,19:00,21:00,SAKAI
COSC,1P50,D3 2,Apr. 14,9:00,11:00,SAKAI
COSC,2P05,D3 1,Apr. 12,9:00,12:00,WCDVIS
COSC,2P13,D3 1,Apr. 23,19:00,22:00,WCIBDS
COSC,3P32,D3 1,Apr. 25,9:00,12:00,WCIBDS
COSC,3P91,D3 1,Apr. 18,19:00,22:00,WCDVIS
COSC,3P94,D3 1,Apr. 13,14:00,16:00,WCDVIS
COSC,4P32,D3 1,Apr. 25,14:00,16:00,STH202
COSC,4P61,D3 1,Apr. 19,14:00,17:00,WCIBDS
