Code,Duration,Section,Date,Starts,Ends,Location
MATH 1F92,D1,1,Apr. 25,9:00,11:30,WCIBDS
MATH 1P02,D3,1,Apr. 26,14:00,17:00,WCDVIS
MATH 1P05,D3,1,Apr. 12,19:00,22:00,WCIBDS
MATH 1P06,D3,1,Apr. 22,14:00,16:30,WCDVIS
MATH 1P20,D3,1,Apr. 18,9:00,11:00,WCDVIS
MATH 1P40,D3,1,Apr. 18,9:00,12:00,STH202
MATH 1P67,D3,1,Apr. 26,9:00,11:00,WCDVIS
MATH 1P97,D3,1,Apr. 20,19:00,22:00,ONLINE
MATH 1P97,D3,3,Apr. 20,19:00,22:00,ONLINE
MATH 1P97,D3,4,Apr. 20,19:00,22:00,ONLINE
MATH 1P97,D3,5,Apr. 20,19:00,22:00,ONLINE
MATH 1P98,D3,1,Apr. 22,9:00,12:00,ONLINE
MATH 2P08,D3,1,Apr. 22,14:00,17:00,ONLINE
MATH 2P13,D3,1,Apr. 19,19:00,22:00,WCIBDS
MATH 2P75,D3,1,Apr. 20,19:00,21:00,WCIBDS
MATH 2P82,D3,1,Apr. 14,19:00,22:00,WCIBDS
MATH 2P94,D3,2,Apr. 21,9:00,12:00,ONLINE
MATH 2P98,D3,1,Apr. 23,9:00,11:00,SAKAI
MATH 3P06,D3,1,Apr. 13,19:00,22:00,WCIBDS
MATH 3P09,D3,1,Apr. 26,19:00,22:00,ONLINE
MATH 3P13,D3,1,Apr. 12,9:00,11:30,STH202
MATH 3P41,D3,1,Apr. 14,9:00,12:00,TH259
MATH 3P85,D3,1,Apr. 18,9:00,12:00,MCA203
MATH 3P95,D3,1,Apr. 12,19:00,22:00,WCDVIS
MATH 4P61,D3,1,Apr. 19,14:00,17:00,WCIBDS
MATH 4P84,D3,2,Apr. 20,9:00,12:00,ONLINE
