Peter Vietgen,Sarah McGean
* Indicates primary offering of a cross listed course,INDG 1F01
Introduction to Mohawk,"Common sentence forms and vocabulary taught by audio-lingual methods. Listening, reading and writing of words and language recorded by Mohawk speakers. Extended dialogues to increase fluency in speech and reading."
"Note: one-third of class time is devoted to the study of Mohawk culture. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 1F03
Introduction to Cayuga,"Common sentence forms and vocabulary taught by audio-lingual methods. Listening to, reading and writing stories recorded by native speakers are used. Materials are chosen for cultural and linguistic content. Extended dialogues and storytelling to increase fluency in speech and reading. Transcription of and response to recorded language samples to extend writing in the Cayuga language."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 1F20
Introduction to Nishnawbe Languages,"Common sentence forms and vocabulary taught by audio-lingual methods. Listening, reading and writing of stories recorded by native speakers. Extended dialogues and storytelling to increase fluency in speech and reading."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 1F90
Introduction to Indigenous Studies,"Indigenous cultures in contemporary North America. Diverse and common features of different nations; effects of geography, politics, history and language use."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 1F94
The Traditional Indigenous Family,"The traditional Indigenous family from pre-contact to the contemporary. Topics include commonalities among cultures, dynamics of family change and development, traditional family planning and parenting as well as individual, family and community relationships and roles."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 1P22
Technology in Indigenous Community,"Topics include representation of information, Microsoft applications, internet searching and library database instruction."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F01
Intermediate Mohawk,"Development of communication abilities and acquisition of the punctual, indefinite and perfect verb forms; transitive pronouns, noun incorporation and locative. Extension of literacy and oral skills through taped and written traditional stories."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*INDG 2F14
Decolonizing Indigenous Women's Identities,"Indigenous women's identities from social, cultural and political perspectives emphasizing culture, tradition and spirituality."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F20
Intermediate Nishnawbe Languages,"Development of communication abilities and acquisition of the punctual, indefinite and perfect verb forms; transitive pronouns, noun incorporation and locatives. Extension of literacy and oral skills through taped and written traditional stories."
