Fayez A. Elayan,A. William Richardson
"Darlene Bay, Fayez A. Elayan, Hemantha Herath, Jingyu (Jennifer) Li, Alex Nikitkov, Samir Trabelsi","Ian Adamson, Kareen E. Brown, Louis Culumovic, Sohyung Kim, Pascale Lapointe-Antunes, Zhefeng Frank Liu, Parunchana Pacharn, Barbara Sainty, Paul Scarbrough, Anamitra Shome, Tashfeen Sohail, Linda Stillabower, Tanya Tang, Allister W. Young"
"Dan (Sabrina) Gong, Nam Ho, Mengtian L, Michelle Lau, Simon Suwanyangyuan","Norman Chasse, Sangeeta Hollo, Glenn Skrubbeltrang, Celine Zhang"
Cara Krezek,"Steve Argiropoulos, Stella Han, Amanda Khan, Kevin Leung, Lainie Wagner"
Kenneth J. Klassen,"Thomas H. Barnes, J. Robert Hanrahan"
"Mohamed Ayadi, Anteneh Ayanso, Ernest N. Biktimirov, Danny Cho, Don Cyr, Zhongzhi (Lawrence) He, Eugene Kaciak, Kenneth J. Klassen, Martin I. Kusy, Skandar Lazrak, Robert Welch, Reena Yoogalingam","Michael Armstrong, Dipanjan Chatterjee, Tejaswini Herath, Princely Ifinedo, Walid Ben Omrane, Onem Ozocak, Unyong (Howard) Pyo, Tatyana Sokolyk, Francine Vachon,  Yan Wang"
"Osman Aktas, Jin Lei, Nigussie Mengesha, Susan Sproule, Ali Vaezi, Shuai Yuan",Geoffrey Hoover
Cara Krezek,"Steve Argiropoulos, Stella Han, Amanda Khan, Kevin Leung, Lainie Wagner"
Kai-Yu Wang,"Barbara J. Austin, Kenneth E. Loucks, Peter Yannopoulos"
"Sheng Deng, Shibing (Marshall) Jiang, Antonia Mantonakis, Narongsak (Tek) Thongpapanl, Kai-Yu Wang, Lianxi Zhou","Abdul Ashraf, Eric Dolansky, Todd Green, Wesley Helms, Francis Sun"
"Filippo Dall¡¯Olio, Magnus Hultman, Sylvia Grewatsch, Waqar Nadeem, Paulo Palombo, Joachim Scholz, Asma Zafar","Jacqueline Glenney, Mark Parker"
Cara Krezek,"Steve Argiropoulos, Stella Han, Amanda Khan, Kevin Leung, Lainie Wagner"
Deborah McPhee,Carol A. Sales
"Dirk De Clercq, Paul Dunn, Andrew Gaudes, Mark Julien, Deborah M. McPhee, Teresa V. Menzies, Usman Raja, Kojo Saffu","Dave Bouckenooghe, H. Shawna Chen, Adam Kanar, Diane Miller, Robert Steinbauer, Barry Wright"
"Kemi S. Anazodo, Raymond B. Chiu, Sadia Jahanzeb, Yasanthi Perera",Cara Krezek
"Steve Argiropoulos, Stella Han, Amanda Khan, Kevin Leung, Lainie Wagner",Hania Halwani
Val DeSimone,Cindy Curtis
Students admitted to the Bachelor of Accounting Co-op program must follow the Co-op program schedule. The eligibility of each student to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session.,Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session.
Students admitted to the Bachelor of Business Administration Co-op program must follow the BBA Co-op program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session.,Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session.
Students admitted to the Bachelor of Business Administration Co-op International Double Degree program must follow the Double Degree program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session.,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Year 2
Year 3,Winter Term:
Year 4,Winter Term:
Spring/Summer Sessions:,Year 5
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,Fall Term:
Fall Term:,"Undergraduate degree or equivalent with minimum B standing, as required for admission to a graduate Certificate applicants whose first language is not English must provide evidence of proficiency in English as demonstrated through one of the following:"
(taken at Brock University),(taken at Brock University)
Fall Term:,(taken at Brock University)
(taken at European Business School),Fall Term:
(taken at Brock University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
Fall Term:,(taken at Dublin City University)
MT310 - Intra Co-op Experience,(taken at Dublin City University)
Fall Term,(taken at Brock University)
(taken at Dublin City University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
(taken at Neoma Business School),Professional Experience Internship
(taken at Neoma Business School),Fall Term:
(taken at Brock University),(taken at Neoma Business School)
(taken at Brock University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
(taken at Brock University),Fall Term:
(taken at Reutlingen),Professional Experience Internship
(taken at Reutlingen),Fall Term:
(taken at Brock University),(taken at Brock University)
(taken at Brock University),(taken at Brock University)
(taken at Brock University),* Indicates primary offering of a cross listed course
ACTG 1P01,Introduction to Financial Accounting
"Fundamental concepts of financial accounting as related to the balance sheet, income statement and statement of cash flows. Understanding the accounting cycle and routine transactions. Integrates both theoretical and practical application of accounting concepts.",Restriction: open to BAcc majors.
ACTG 1P02,Introduction to Managerial Accounting
"Accounting for managerial decision-making, including identifying relevant data, understanding various cost accounting systems and breakeven analysis. Integrates both theoretical and practical application of accounting concepts.",Restriction: open to BAcc majors.
ACTG 1P91,Introduction to Financial Accounting
"Fundamental concepts of financial accounting as related to the balance sheet, income statement and statement of cash flow. Problems of income determination, asset and equity measurements and analysis of financial statements.","Restriction: open to BBA, BBE, BCB and combined Business majors."
ACTG 2P12,Introduction to Management Accounting
"Accounting for managerial decision-making, including identifying relevant data, understanding various cost accounting systems and breakeven analysis.","Restriction: open to BBA, BBE, BCB and combined Business majors."
ACTG 2P21,Cost and Managerial Accounting I
"Internal recording systems developed to implement and guide management planning and control emphasizing cost identification, product costing, cost behaviour and cost allocations as well as analysis and communication of relevant information to users in a professional manner.","Restriction: open to BAcc majors and BBA students approved to the Accounting concentration. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide."
ACTG 2P31,Accounting for External Reporting I
Restriction: open to BAcc majors and BBA students approved to the Accounting concentration or permission of the Department.,ACTG 2P32
Accounting for External Reporting II,"Restriction: open to BAcc majors and BBA students approved to the Accounting concentration or permission of the Department. In Spring Session, open to BAcc Co-op majors and BBA Co-op students approved to the Accounting concentration until date specified in Registration guide."
ACTG 2P40,Commercial Law
Basic legal considerations for the business organization.,"Restriction: open to BAcc, BBA, BBE, BCB and combined Business majors. In Spring Session open to BBA Co-op majors until date specified in Registration guide."
ACTG 2P51,Understanding Accounting
Role of accounting in society. Basic concepts underlying financial and managerial accounting and information systems used by accounting.,"Restriction: not open to BAcc, BBA, BBE, BCB and combined Business majors."
Note: may be offered online.,ACTG 3P11
Auditing Concepts,"Nature and importance of the audit function, the role, professional and legal responsibilities of the auditor, and the audit report. Audit planning, materiality, risk and audit evidence."
"Restriction: open to BAcc majors and BBA students approved to the Accounting concentration or permission of the Department. In Spring Session, open to BAcc Co-op majors and BBA Co-op students approved to the Accounting concentration until date specified in Registration guide.",ACTG 3P23
Cost and Managerial Accounting II,"Continuation of the study of internal recording systems emphasizing performance evaluation, divisional performance measurement, transfer pricing, behavioural implications of accounting information and current issues including analysis and communication of relevant information to users in a professional manner."
"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide.",ACTG 3P33
Accounting for External Reporting III,"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide."
ACTG 3P41,Taxation I
"Principles underlying federal income taxation in Canada through an analysis of the Income Tax Act, R.S.C., as amended. Computation of net income for tax purposes.","Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op students until date specified in Registration guide."
ACTG 3P97,Accounting Information Systems
"Fundamental concepts of accounting information systems emphasizing analysis, design and implementation of information systems and internal controls.",Restriction: open to BAcc majors and BBA students approved to the Accounting concentration or permission of the Department.
#ACTG 4P03,Financial Analysis
"Importance and use of financial statement information in areas such as analysis of credit, equity investment, industry and competitors, analysis of mergers and acquisitions and the firm's strategy in communicating information to capital markets.",ACTG 4P11
Accounting Theory,"Economic, behavioural and ethical foundations of accounting theory including the need for and development of standards, a conceptual framework, alternatives to present accounting models and current issues."
"Restriction: open to BAcc majors or permission of the Department. In Fall Term, open to BAcc Co-op majors until date specified in Registration guide.",ACTG 4P12
Integration and Problem Solving,Incorporates sub disciplines of accounting in the context of a wider view of organizations through the examination of applied and theoretical issues.
"Restriction: open to BAcc majors or permission of the Department. In Fall Term, open to BAcc Co-op majors until date specified in Registration guide.",ACTG 4P34
Accounting for External Reporting IV,"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide."
ACTG 4P40,Tax Strategies for Planning and Decision Making
Principles of individual and corporate taxation emphasizing the effects of federal and sub federal income taxes on decision making in business.,ACTG 4P41
