Brian Ross,Ivo D¨¹ntsch
"Sheridan Houghten, Beatrice Ombuki-Berman, Ke Qiu, Brian Ross, Michael Winter","Naser Ezzati-Jivan, Robson De Grande, Yifeng Li"
Earl Foxwell,"Joseph Brown, Kyle Harrison, James Hughes"
David Bockus,Donna Phelps
Poling Bork,Cara Krezek
Amber Cecchini,"In order to prepare students for professional practice, students in the BSc (Honours), BSc Co-op, and BSc with Major programs are highly recommended to complete courses in a focused discipline outside of computer science. It is widely recognized that the professional practice of computer science often requires domain knowledge-specialized knowledge of another discipline in which computing is applied. This phenomenon is often described as Computer Science + X."
[endif],"A campus-wide fibre optic network links all the University's academic computing facilities including the department's computers. Campus-wide WiFi provides access to this network from anywhere on campus. The department maintains a 16 core Redhat Linux server that supports the departmental labs and provides students with access to their files wherever they can connect via the internet. The department has three computer laboratories: D205, J301 and J310 containing multi-core Intel processor computers running both Windows and Linux operating systems with access to development environments, database systems and other special purpose software used in the courses."
Fall Term:,Fall Term:
Brock-Fanshawe College,* Indicates primary offering of a cross listed course
*APCO 1P00,Introduction to Media Computation
"Note: prior computer experience is not required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*APCO 1P01
Fluency With Technology,"Note: some prior computer experience is preferred but not required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#APCO 1P30,Programming for Interactive Media
"Introduction to contemporary programming syntax including for classes, functions, properties and events for developing interactive media applications.","Note: enrolment limited to 20 students. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#APCO 1P50,Integrity and Literacy in the Information Age
"Issues in use of information technology including historic and social perspectives; legal, ethical and moral issues; intellectual property, licensing and copyright; privacy and freedom of expression; professional conduct and information literacy.","Note: this course involves seminars and considerable written work. A good command of written and spoken English is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*APCO 1P93,Applied Programming
"Modern software techniques including problem solving and design of effective algorithms, structured program design methodology, subprogram library usage, documentation, correctness, floating-point arithmetic and error analysis.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*APCO 2P11,Personal Computers and Networks
"Inner workings of modern computers from a user's point of view. Understanding the hardware, network and system software. Topics include CPUs, memory, video, input/output, networks, security, installation of operating systems and hands-on trouble shooting.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#APCO 2P61,Website Creation
"Creative approaches to basic technical and design foundations of website design and development. Processing and management of images and other media assets, structuring websites, development tools and applications, web hosting and dissemination strategies. Contemporary web-based art practices within the broader history of cultural production.",#APCO 2P89
Internet Technologies,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
APCO 2P99,Project in Applied Computing
