David Hutchison,Darlene Ciuffetelli Parker
Ruth McQuirter,"TBA (Primary/Junior, Junior/Intermediate and Intermediate/Senior Programs)"
Susan Tromanhauser (Practice Teaching),Shannon Welbourn (Technological Teacher Education)
Janice Kit,Wendy Muir
Michelle Smythe,TBA
Natalie Reynolds,Dorothy Buchanan
Brittany Nagy,b) evidence of academic qualifications satisfactory to the University
English,French
Geography,History
Mathematics,Science-General
Visual Arts,English
French,Geography
History,Mathematics
Science-Biology,Science-General
Visual Arts,Computer Technology
Construction Technology,Green Industries
Hairstyling and Aesthetics,Health Care
Hospitality and Tourism,Manufacturing Technology
Technological Design,Transportation Technology
* Indicates primary offering of a cross listed course,ABTE 8P01
Principles and Practices for Professional Certification I-Primary/Junior,Restriction: open to students admitted to the Primary/Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P02
Principles and Practices for Professional Certification II-Primary/Junior,Restriction: open to Primary/Junior (Aboriginal) students.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P03
Principles and Practices for Professional Certification III-Primary/Junior,Restriction: open to Primary/Junior (Aboriginal) students.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P04
Principles and Practices for Professional Certification IV-Primary/Junior,Restriction: open to Primary/Junior (Aboriginal) students.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P08
Instructional Strategies I,"Planning and preparatory aspects of teaching, addressing the ongoing process of diagnosis as essential to such elements of instruction as motivation, classroom management and discipline within the expository discussion and inquiry models of teaching."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P10,Instructional Strategies II
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P11,Computers in Education
"Overview of computer technology in school systems. Computer software packages and evaluation of their use for application in effective curriculum design. Technology across the curriculum, word processing, software evaluation, and the application of spreadsheets and databases.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P30
Language Primary/Junior,"Strategies for the development of communicative competence in listening, speaking, reading and writing. Emphasis on the use of language for learning and thinking across the curriculum. The role and purpose of children's literature in enhancing the learning to read process."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P33,Arts Primary/Junior
"Introduction to education in and through the arts (dramatic arts, music, visual arts and dance) as defined in provincial documents. Examples of methods for integration of common components of form, function, meaning and communication, with practical applications across the arts, the broader school curriculum and the life of students in the primary and junior grades.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P70
Teaching in the Ontario Context,"Foundational and method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Connections made between observation and experiences in field-based school placements to theory, practice and reflection."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P75,"Practicum for Integrating Teaching, Learning and Assessment"
"Connections between observations and experiences in field-based school placements to theory, practice and reflection. Previously learned in foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Sessions divided between instructional methods and field experiences.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P77
Practicum for Professional Collaborative Practice I,"Connections between observations and experiences in field-based school placements to theory, practice and reflection. Previously learned in foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Sessions divided between instructional methods and field experiences."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P78,Practicum for Professional Collaborative Practice II
"Connections between observations and experiences in field-based school placements to theory, practice and reflection. Previously learned in foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Sessions divided between instructional methods and field experiences.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P80
Language and Literacy I,"Introduction to the Ontario Language Arts curriculum for the Primary/Junior division. Topics may include literacy theories, children's literature, literacy and assessment, planning, and classroom strategies and tools."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P81,Mathematics I
"Introduction to the Ontario Primary/Junior curriculum in Mathematics. Focus on deeper understanding of mathematical content, processes and ideas. Concepts and procedures that build and connect across the grades and strands.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P83
Cognition and the Socioemotional Development of Learners,"Curriculum related to human development and exceptional learners. Topics include cognitive development, memory, meta cognition, socioemotional development, mental health, sociocultural diversity, learning strategies and classroom management."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P84,Teaching Digital Learners in the Digital Age
"Technology-enhanced teaching of elementary learners emphasizing the connection between content knowledge from the Ontario curriculum and instructional strategies and pedagogical knowledge for teaching digitally-connected learners. Models of teaching for face-to-face, blended and online environments, curriculum-based lesson activities that blend technology into instruction, and the technical skills for implementing digital learning environments.",Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P85
Social Studies,Introduction to the Social Studies curriculum for the Primary/Junior division. Conceptual foundations and instructional practices within the Ontario context.
Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P90,Science and Technology
"Knowledge and skills necessary to be a successful Primary/Junior science teacher. Merging practice and theory (praxis) of school science fundamentals essential to 21st-century learning. Topics may include scientific literacy, creativity and science (inquiry), the nature of science, and integration with environmental education.",Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P92
Language and Literacy II,"Understanding of literacy issues and challenges for Indigenous children. Increase knowledge, capacities, and competencies in reading and writing emphasizing Aboriginal literature."
Restriction: open to students admitted to the Primary/Junior program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P93,Mathematics II
Current trends and research based issues in teaching and learning of mathematics focusing on the integration of content knowledge and pedagogy for Primary/Junior Indigenous learners.,Restriction: open to students admitted to the Primary/Junior program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8P97
The Exceptional Learner,"Characteristics of exceptional learners. Topics include socioemotional development, mental health, communication exceptionalities, sociocultural diversity, and physical and multiple exceptionalities."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8P98,Health and Physical Education Curriculum and Pedagogy
"Twenty-first-century health and physical education, pedagogical content knowledge, the Primary/Junior curriculum, and relevant health and physical education theories and models. Influence of perceptions, self-efficacy, and personal biography on emerging planning and instructional choices/decisions.",Restriction: open to students admitted to the Primary/Junior program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y04
Current Trends and Issues in Special Education,Current legislation and recent developments related to the education of exceptional students.
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y05,"Professionalism, Law and the Ontario Teacher"
"Key educational issues, responsibilities and authority in the organization of the public school system in Ontario through study of statues, regulations and professional codes of ethics.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y31
Mathematics Primary/Junior,"Teaching mathematics at the primary and junior levels: resources, curriculum and methods."
Restriction: open to students admitted to Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y36,Health and Physical Education Primary/Junior
"Focus on the implementation of the Ontario health and physical education curriculum in primary and junior grades. Fundamental movement competency, active living, concepts of healthy living, appropriate teaching methods and a philosophical orientation which fosters learning by all.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y38
Science and Technology Primary/Junior,"Introduction to basic concepts, skills and strategies required for teaching science at the primary/junior school level, including the nature of science, scientific literacy, learning theories, the Ontario Grades 1-6 Science and Technology curriculum, inquiry-based instruction, lesson and unit planning, inclusive science education and cross-curricular integration."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y39,Social Studies Primary/Junior
"Teaching strategies appropriate to the Ontario curriculum emphasizing knowledge, skills and attitudes for examining and understanding communities, various heritages and citizenship. Key social science concepts; inquiry and communication skills focusing on Canadian identity and democratic values.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y50
Literacy Issues in Elementary Education,Origins and treatment of literacy difficulties in minority children.
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y60,Literacy Issues in Elementary Education II
"Increase knowledge, capabilities, competencies in creative written expression, concentrating on Indigenous writers.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y61
Classroom Dynamics: Teaching and Learning,"Basic principles of child development and learning that guide instructional decision making and classroom management. Topics may include motivation, social contexts of learning, individual differences, student thinking and problem solving, family, school and community partnerships."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y63,Introduction to Assessment and Evaluation
Methods for assessment and evaluation of student growth.,Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y71
Practicum for Teaching in the Ontario Context,"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Previously learned in foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Sessions divided between instructional methods and field experiences."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y72,Teaching Aboriginal Learners in the Ontario Context
"Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Connections between observation and experiences in field-based school placements to theory, practice and reflection.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y73
Practicum for Teaching Aboriginal Learners in the Ontario Context,"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Previously learned in foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Sessions divided between instructional methods and field experiences."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y74,"Integrating Teaching, Learning and Assessment"
"Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Connections between observation and experiences in field-based school placements to theory, practice and reflection.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y76
Professional Collaborative Practice,"Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Connections between observation and experiences in field-based school placements to theory, practice and reflection."
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y82,"Assessment, Evaluation and Reporting"
"Basic concepts, skills and practices associated with classroom assessment, evaluation and reporting. Grounded in the purpose and principles of sound assessment, a range of assessment and evaluation methods and practices as explored within the Ontario context.",Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y86
The Arts In and Across the Curriculum: Music,Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y87
The Arts In and Across the Curriculum: Drama,"Ontario Primary/Junior curriculum in Drama. Exploration of theory into practice, instructional strategies and pedagogy."
Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y88,The Arts In and Across the Curriculum: Dance
