"Ren¨¦e-Claude Breitenstein (as of August 4, 2021)","Carmela Colella (until August 3, 2021)"
Liz Hay,Violetta Clitheroe
* Indicates primary offering of a cross-listed course,FREN 1F00
French I,"Basic grammar; acquisition of fundamental reading, writing, oral expression and comprehension skills."
"Note: for students with limited or no background in French. Students with Ontario grade 10, 11, 4U/M French or equivalent, may not take this course. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 1F50
French II,"Grammar study; development of reading, writing, oral expression and comprehension skills."
"Note: students with 4U/M French or equivalent may not take this course. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 1F90
French III,"Grammar review; literary, cultural and journalistic readings; practice in reading, writing, oral expression and comprehension."
"Note: students must obtain a minimum 65 percent in FREN 1F90 in order to enroll in Year 2 French courses. Not open to Francophones (first language is French and attended a Francophone school) who obtained a minimum of 75 percent in Grade 12 French. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 1P93
French Grammar Review and Practice,Grammar review and practice at the French III Level.
FREN 2F00,Grammar and Composition
Intensive grammar review; literary expression; composition; critical written and oral expression.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 2F03,Literature and Culture: The French-Speaking World
"Literature from 1800 to the present in its cultural contexts. Works from different genres, historical periods and cultural traditions. Dissertation, technical vocabulary, rhetorical terminology and interpretative concepts.",FREN 2P10
Introduction to the Linguistic Study of French,"Basic concepts of linguistics through analysis of contemporary French as it is spoken and written throughout the francophone world. Topics may include phonetics, phonology, morphology, lexicology, syntax and semantics."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 2P44
Children's Literature in French: The Picture Book and Beyond,"Selection of texts representative of a variety of genres, including the picture book, fairytale, short story and novel emphasizing the contemporary period. Theory of children's literature. Picture books from France and other francophone regions emphasizing the contemporary period; theory of the picture book and its use in the classroom."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 2P55
Francophone Cultures and Civilizations,"Ideological, historical and cultural aspects of Francophone societies. Topics may include colonialism, issues in language, literature, the arts and gender."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 2P57
Phonetics and Phonology,"Sound patterns of French. Articulatory, auditory and acoustic properties of human speech. Phonemic and non-phonemic (stress, intonation, rhythm) features."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 2P65
Culture and Civilization of France to 1800,"Art, music, architecture and aesthetics to 1800; intellectual trends; history, politics and society."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P03
Composition and Stylistics,Advanced grammar and stylistics of contemporary French. Applications to composition.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P05
Business French I,"Development of oral and written skills for use of French in business transactions and communications. Developing business vocabulary, focusing on correspondence formulae and terminology."
