Teena Willoughby,"Jack Adams-Webber, Kathryn Belicki, John G. Benjafield, Nancy DeCourville, David DiBattista, Stefan M. Brudzynski, Jane Dywan, Carolyn Hafer, Harry T. Hunt, Dorothy Markiewicz, John Mitterer, Robert D. Ogilvie, Edward W. G. Pomeroy, Joan Preston, Linda Rose-Krasnor, Stanley W. Sadava, Sidney J. Segalowitz, Paul D. Tyson"
"Karen Arnell, Michael Ashton, Angela Book, Michael Busseri, Kimberly Cote, Veena D. Dwivedi, Angela D. Evans, Gordon Hodson, Tanya Martini, Cheryl McCormick, Catherine J. Mondloch, Tim Murphy, Gary Pickering, Teena Willoughby","Karen Campbell, Andrew V. Dane, Stephen M. Emrich, Dawn E. Good, Caitlin Mahy, Cameron Muir, Elizabeth Shulman"
"Paula Duarte-Guterman, William Hall, Scott Neufeld, Charlis Raineki, Sabrina Thai","Sherrie Bieman-Copland, Marie Good"
Caitlin Mahy,Joanne Boekestyn
Tammy Stewart,Kirsti van Dorsser
Cara Krezek,Linda DiRaddo
Mackenzie Chown B327,brocku.ca/social-sciences/psychology
"Among the total number of Psychology courses taken in year 3 and 4, students completing the Comprehensive stream program must take minimum of one-half credit from each category",* Indicates primary offering of a cross listed course
PSYC 1F90,Foundations of Psychology
Methodological approaches and contemporary issues in psychology and their application to everyday life.,"Lectures, seminar, 3 hours per week."
PSYC 2F23,Statistics and Research Design in the Behavioural Sciences
Principles of research design and data analysis in the context of psychological research.,"Lectures, tutorial, 4 hours per week."
"Note: 4U Mathematics of Data Management or equivalent background recommended. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P01
Roadmap to Careers in Psychology,Career exploration and applications in psychology and related fields.
"Seminar, online activities, 3 hours per week.",Restriction: open to PSYC (single) majors. Not open to combined majors and minors.
"Note: students are expected to register during their second year of study. Must be completed before registering in required year 4 courses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P12
Lifespan Development,"Introduction to theories and research in human development across the lifespan. Topics include development in physical, perceptual, cognitive, linguistic, social and/or emotional domains."
"Lectures, 1.5 hours per week; online activities, 1.5 hours per week.",PSYC 2P15
Abnormal Psychology,"Mental disorders with respect to classification, diagnosis, etiology, treatment, and applied case studies. Biological and psychosocial risk factors for mental disorders."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 2P20,Cognition
"How the mind processes information. Topics include recognition, attention, memory, problem solving, judgment and decision making.","Lectures, lab, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P25
Personality and Individual Differences,"Introduction to theory and research in personality and related individual differences. Topics include measurement and structure of personality characteristics; biological bases, genetic and environmental origins, and evolutionary function of personality; personality disorders; personality as a predictor of life outcomes; other domains of psychological variation (religious beliefs and political attitudes, sexuality, occupational interests, mental abilities)."
"Lectures, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 2P30,Fundamentals of Social Psychology
"Theory, methods and research examining the influence of others on phenomena such as cognition, the self, attitudes, group processes and communication.","Lectures, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P35
Introduction to Brain and Behaviour,"Introduction to biological aspects of behavioural neuroscience. Basics of the structure and function of the nervous system in relation to behaviour and reviews activities of the brain from the neuron through to interrelationships among neural systems. Topics include neuronal function, drugs and behaviour, brain plasticity and recovery from injury, sensation and perception, and the organization of the brain emphasizing human behaviour."
"Lectures, 3 hours per week; seminar, 1 hour per week.",*PSYC 2P36
Brain and Behaviour I,"Introduction to behavioural neuroscience and biological aspects of behaviour. Basics of the structure and function of the nervous system in relation to behaviour and activities of the brain from the neuron through to interrelationships among neural systems (central and peripheral nervous system, and hormonal regulation). Topics include neuronal function, drugs and behaviour, brain plasticity and recovery from injury, sensation and perception, and the organization of the brain emphasizing human behaviour."
"Lectures, 3 hours per week; lab, 3 hours per week.",*PSYC 2P37
Brain and Behaviour II,"Physiological basis of neural mechanisms relevant to human actions and cognitions such as motivation (sleep, sexual behaviour, eating), emotions and stress, learning and memory, communication and language, and thought (psychological/psychiatric disorders)."
"Lectures, 3 hours per week; lab, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 2P49,Perception
"Introduction to human perception emphasizing visual and auditory perception, including theory and applications to neurophysiology, speech recognition and development. Integration of smell, taste, balance and time perception to demonstrate the biological and cognitive bases of perception.","Lectures, 2.5 hours per week, seminar, 1 hour, alternating weeks."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P90
Introduction to Community Psychology,"Overview of history, approaches and ethical issues with psychological research and practice in community settings including deinstitutionalization, research with vulnerable communities, Indigenous research, structural interventions, and community empowerment."
"Lectures, seminar, 3 hours per week.",Restriction: open to PSYC (single or combined) majors and minors until date specified in Registration guide.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 2P92
Health Psychology,"Introduction to psychological aspects of health and illness. How behaviour, social context and attitudes influence physiological processes and our health. Topics include health promotion, stress,psychoneuroimmunology, health and physical activity, pain and the health care system."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 2P95,Sport Psychology
Interaction between psychology and behaviour in sport. Understanding individual and team optimal performance and athlete development.,"lectures, 3 hours per week."
"Restriction: open to BKin, BPhEd, BPhEd (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Junior/Intermediate) and BSc (Kin) majors until date specified in Registration guide. After that date open to BKin, BPhEd, BPhEd (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Junior/Intermediate) BSc (Kin) majors and PSYC (single or combined) majors and minors until date specified in Registration Guide. Students must have a minimum of 3.5 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 2P96,Human Learning
